delay,gain
17.9127,3.79261e-07
19.2612,3.28152e-07
19.1028,3.336e-07
16.3669,4.54006e-07
15.8374,4.84748e-07
16.234,4.61441e-07
17.3555,4.03923e-07
17.5431,3.95358e-07
20.1071,3.01189e-07
22.6533,2.37412e-07
17.0736,4.17322e-07
16.6269,4.39964e-07
18.469,3.56821e-07
16.3274,4.56192e-07
16.3337,4.55841e-07
15.523,5.04499e-07
16.2239,4.62011e-07
17.8958,3.79974e-07
15.3794,5.13922e-07
15.7558,4.89763e-07
17.0903,4.16512e-07
20.6476,2.85662e-07
16.2407,4.61062e-07
17.6656,3.89909e-07
16.2611,4.5991e-07
16.1582,4.65764e-07
15.8442,4.84333e-07
17.6303,3.91467e-07
16.0848,4.70005e-07
19.3616,3.24766e-07
17.8217,3.83131e-07
17.4553,3.99331e-07
16.6802,4.37169e-07
20.7756,2.82163e-07
17.8904,3.80204e-07
17.2268,4.09958e-07
18.1581,3.69107e-07
17.4527,3.99449e-07
16.6782,4.37276e-07
22.2797,2.45423e-07
26.4506,1.74228e-07
20.5087,2.89537e-07
19.6873,3.14136e-07
16.1385,4.66895e-07
17.732,3.87003e-07
15.7387,4.90821e-07
19.1062,3.33484e-07
24.0266,2.11094e-07
20.85,2.80157e-07
16.6939,4.36454e-07
19.8969,1.53785e-07
20.1815,1.49489e-07
19.684,1.5712e-07
18.2015,1.83678e-07
20.5302,1.44465e-07
19.6032,1.58415e-07
19.7919,1.55417e-07
18.348,1.80764e-07
19.829,1.54837e-07
18.4414,1.78943e-07
20.3591,1.46898e-07
19.6358,1.5789e-07
20.1826,1.49472e-07
20.3033,1.47705e-07
18.2887,1.81936e-07
21.6568,1.29858e-07
20.6516,1.42777e-07
17.8754,1.90419e-07
17.6369,1.95587e-07
18.0185,1.87416e-07
19.4603,1.60745e-07
19.1039,1.66781e-07
21.1317,1.36377e-07
24.4921,1.01579e-07
18.3332,1.81056e-07
19.2644,1.64022e-07
18.7084,1.73887e-07
18.4835,1.78131e-07
17.843,1.91111e-07
16.8234,2.14893e-07
18.0401,1.86968e-07
18.2872,1.81966e-07
18.6476,1.75021e-07
16.4859,2.23748e-07
19.6097,1.58311e-07
22.6306,1.18944e-07
18.3314,1.81092e-07
19.6192,1.58157e-07
18.998,1.6864e-07
17.096,2.08117e-07
16.9357,2.12061e-07
20.2228,1.48881e-07
16.8919,2.13158e-07
19.8744,1.54133e-07
18.4142,1.79471e-07
19.6141,1.5824e-07
19.1867,1.65349e-07
22.6374,1.18872e-07
18.4254,1.79253e-07
19.0011,1.68586e-07
18.9954,1.68687e-07
18.7272,1.73538e-07
18.4888,1.7803e-07
22.844,1.16736e-07
27.4598,8.08367e-08
22.462,1.20732e-07
20.0858,1.50913e-07
17.1317,2.07253e-07
19.3989,1.61761e-07
18.2587,1.82532e-07
21.0407,1.37556e-07
24.7618,9.93821e-08
23.0194,1.14967e-07
16.7609,2.16493e-07
20.4021,7.31406e-08
22.051,6.26326e-08
20.3428,7.35666e-08
19.0356,8.39881e-08
20.5462,7.21207e-08
21.7891,6.41441e-08
20.4593,7.2733e-08
20.0384,7.58132e-08
21.7504,6.43723e-08
19.899,7.6876e-08
21.3708,6.66741e-08
20.2312,7.43784e-08
21.1568,6.8027e-08
20.9771,6.91951e-08
20.5018,7.24328e-08
21.7445,6.44068e-08
23.3163,5.60314e-08
19.4613,8.03641e-08
18.2587,9.12659e-08
19.2543,8.20963e-08
20.0984,7.53618e-08
21.1961,6.77754e-08
22.3497,6.0973e-08
26.3826,4.37816e-08
18.4071,8.98044e-08
19.7834,7.77753e-08
21.545,6.56028e-08
18.8706,8.54597e-08
19.7661,7.79105e-08
18.162,9.22373e-08
19.2336,8.22728e-08
19.8911,7.69373e-08
18.7329,8.67171e-08
