ray_id,x,y,z
52,-0.999,-0.764198,0.85501
53,0.999,0.550629,0.262808
54,0.5718,-0.434012,0.999
55,-0.360643,-0.992143,-0.999
56,0.999,0.228513,0.926862
57,-0.0612395,-0.999,-0.632376
58,0.999,-0.724415,-0.909155
59,0.218087,0.593711,0.999
60,-0.296807,-0.999,-0.744811
61,0.9518,-0.999,-0.270003
62,0.812397,-0.999,-0.471524
63,0.204096,-0.108773,0.999
0,-0.999,-0.503688,-0.989841
1,-0.316105,0.999,-0.586703
2,-0.399442,-0.999,0.225117
3,0.181512,0.999,-0.622373
4,-0.512829,-0.810807,-0.999
5,0.269942,0.659036,-0.999
6,-0.258183,0.404036,0.999
7,-0.0212319,-0.309713,-0.999
8,-0.999,-0.264108,0.169079
9,0.999,0.78619,-0.981896
10,0.206395,-0.999,0.00492901
11,-0.999,-0.969253,0.437335
12,0.999,0.855995,-0.0738295
13,0.986458,0.999,-0.857343
14,0.999,-0.530936,0.877011
15,0.999,0.783168,-0.817854
16,0.999,0.812831,-0.680543
17,0.698321,0.999,-0.743253
18,0.036861,-0.325552,-0.999
19,0.999,0.367755,0.644953
20,-0.642996,-0.999,-0.418158
21,-0.161424,0.940718,-0.999
22,-0.712905,-0.773102,0.999
23,-0.999,0.0307671,0.2516
24,-0.887333,0.999,0.499136
25,0.785661,0.844473,0.999
26,0.0442993,-0.122576,-0.999
27,0.116207,0.999,0.131767
28,0.629962,-0.776578,0.999
29,-0.999,0.47256,-0.101991
30,0.958106,0.176407,0.999
31,-0.323668,0.434841,0.999
32,0.999,0.608779,0.383767
33,0.115061,0.841713,0.999
34,-0.646432,-0.761429,-0.999
35,-0.920565,-0.999,-0.546929
36,-0.322385,-0.666529,0.999
37,-0.999,0.879302,0.068927
38,0.426578,0.999,-0.176723
39,0.579061,0.416395,0.999
40,-0.941446,-0.339214,-0.999
41,-0.999,-0.273118,-0.0360925
42,-0.999,-0.0166366,-0.916967
43,-0.700032,0.999,0.595773
44,0.999,0.668971,-0.299924
45,-0.665369,-0.999,0.123601
46,0.999,-0.763719,0.150092
47,-0.999,0.58088,0.272938
48,0.341432,0.999,0.200109
49,-0.999,0.775429,0.374455
50,-0.13621,0.999,-0.703049
51,0.991102,0.646266,0.999
52,-0.846644,-0.904574,0.999
53,0.5492,-0.999,-0.518132
54,0.000976503,-0.6076,-0.999
55,-0.504194,0.999,-0.600958
56,-0.999,0.319909,0.498049
57,0.488757,-0.859292,-0.999
58,0.823988,-0.999,-0.96221
59,-0.0609891,0.999,0.529044
