delay,gain
16.8604,2.13954e-07
20.0107,1.52045e-07
17.5056,1.98523e-07
22.4794,1.20545e-07
22.4955,1.20374e-07
20.6476,1.42831e-07
22.7512,1.17688e-07
17.6,1.96406e-07
19.5191,1.59779e-07
18.2088,1.83532e-07
18.2006,1.83697e-07
17.5262,1.98059e-07
19.4016,1.61717e-07
21.515,1.31571e-07
18.6194,1.75548e-07
20.5688,1.43925e-07
19.2912,1.63567e-07
18.1613,1.84489e-07
17.0679,2.08801e-07
18.913,1.70156e-07
21.5838,1.30735e-07
19.8207,1.54967e-07
19.9367,1.53173e-07
19.6564,1.57561e-07
20.0631,1.51254e-07
18.2269,1.83167e-07
18.4849,1.78106e-07
20.4194,1.46034e-07
18.2162,1.83382e-07
19.8001,1.55288e-07
19.0779,1.67236e-07
19.6572,1.57548e-07
17.7629,1.92831e-07
20.1419,1.50076e-07
16.7939,2.15646e-07
21.5341,1.31338e-07
18.3672,1.80388e-07
18.759,1.72952e-07
18.6277,1.75393e-07
17.0312,2.09699e-07
18.49,1.78008e-07
21.023,1.37788e-07
22.5866,1.19407e-07
23.6137,1.09264e-07
17.8179,1.91647e-07
19.4115,1.61551e-07
17.1667,2.06412e-07
19.7292,1.56404e-07
24.7502,9.94753e-08
20.4748,1.45246e-07
18.3407,1.80909e-07
22.6564,5.93368e-08
17.6183,9.79996e-08
24.9789,4.88324e-08
20.4631,7.27059e-08
21.9781,6.30479e-08
17.7052,9.7043e-08
23.6961,5.42532e-08
18.3097,9.07604e-08
18.2172,9.16807e-08
22.2573,6.14794e-08
19.5321,7.97835e-08
19.7427,7.80955e-08
20.3899,7.3228e-08
17.3769,1.00732e-07
21.7431,6.44153e-08
18.0025,9.38739e-08
24.4556,5.0941e-08
24.637,5.01949e-08
22.4907,6.02124e-08
24.7981,4.95458e-08
18.9575,8.468e-08
20.4927,7.24969e-08
19.2966,8.17383e-08
20.4221,7.29978e-08
18.0311,9.35775e-08
21.0677,6.86025e-08
22.3702,6.08617e-08
20.5866,7.18387e-08
21.6623,6.4896e-08
20.263,7.41457e-08
19.1113,8.33262e-08
18.9214,8.50028e-08
19.2774,8.19001e-08
23.837,5.36145e-08
21.9593,6.31559e-08
22.4571,6.03923e-08
21.6821,6.47774e-08
20.1813,7.47456e-08
18.4032,8.98425e-08
19.2934,8.17646e-08
20.4502,7.27975e-08
20.3886,7.32369e-08
22.2787,6.13614e-08
21.2652,6.73365e-08
21.7888,6.41462e-08
17.7777,9.62561e-08
21.5636,6.54897e-08
19.0094,8.42193e-08
21.6099,6.52103e-08
20.2798,7.40235e-08
18.8999,8.51955e-08
21.051,6.8711e-08
17.4482,9.9914e-08
21.1299,6.81996e-08
22.9194,5.79852e-08
24.7142,4.98825e-08
25.1992,4.79838e-08
19.4488,8.04671e-08
19.7819,7.77868e-08
18.1139,9.2727e-08
20.6603,7.13281e-08
26.714,4.27035e-08
21.9163,6.34034e-08
20.7095,7.09905e-08
23.1556,2.84054e-08
20.1743,3.73989e-08
26.6831,2.14013e-08
21.4327,3.31453e-08
23.6162,2.731e-08
19.712,3.91689e-08
25.6362,2.31821e-08
20.4576,3.63727e-08
20.6545,3.5684e-08
23.8631,2.67488e-08
21.1655,3.39855e-08
20.3787,3.66541e-08
20.4859,3.62724e-08
20.1435,3.7513e-08
23.9996,2.6446e-08
20.2789,3.70148e-08
26.5747,2.15759e-08
26.913,2.10376e-08
24.8099,2.47494e-08
26.9585,2.09668e-08
19.6922,3.92477e-08
21.3377,3.34404e-08
21.9841,3.15068e-08
21.1268,3.411e-08
20.2698,3.70479e-08
22.864,2.9133e-08
24.4272,2.55296e-08
20.7663,3.53018e-08
22.9334,2.89573e-08
21.6591,3.24574e-08
20.5596,3.60136e-08
19.4669,4.01588e-08
21.3549,3.33868e-08
24.9942,2.43863e-08
23.304,2.80453e-08
23.076,2.86012e-08
22.0787,3.12379e-08
22.0288,3.13795e-08
20.6172,3.58128e-08
19.4386,4.02756e-08
21.0153,3.4472e-08
21.1311,3.40962e-08
22.6309,2.97351e-08
21.7272,3.22548e-08
22.1338,3.10829e-08
19.232,4.11432e-08
22.5029,3.00737e-08
19.7837,3.88862e-08
22.1265,3.11035e-08
22.9993,2.87919e-08
21.3715,3.33351e-08
21.0543,3.43448e-08
19.36,4.06026e-08
21.3575,3.33787e-08
25.1401,2.41046e-08
26.9691,2.09503e-08
25.3842,2.3644e-08
21.3356,3.34471e-08
21.8625,3.18576e-08
19.7414,3.90529e-08
22.3162,3.0578e-08
27.0917,2.07614e-08
22.2038,3.08876e-08
21.9844,3.1506e-08
23.279,1.40527e-08
20.5319,1.80552e-08
28.5287,9.36255e-09
22.6616,1.48274e-08
25.7975,1.14468e-08
20.3967,1.82947e-08
27.917,9.77677e-09
21.0974,1.71023e-08
21.5303,1.64231e-08
24.3418,1.28544e-08
21.4908,1.64833e-08
21.6801,1.61974e-08
23.0014,1.43933e-08
20.2345,1.85885e-08
24.7809,1.24037e-08
21.7008,1.61665e-08
28.8101,9.18077e-09
29.0904,9.00486e-09
25.0923,1.20981e-08
27.5392,1.00465e-08
22.3242,1.5278e-08
23.1677,1.41878e-08
22.2891,1.53261e-08
22.7589,1.47011e-08
21.0482,1.71823e-08
23.7747,1.34739e-08
26.0919,1.11903e-08
21.3091,1.6765e-08
23.7038,1.35545e-08
22.4122,1.51585e-08
