delay,gain
280.984,1.38348e-07
323.25,9.62068e-08
325.502,7.6433e-08
45.387,-1.24636e-05
47.7348,-9.48048e-06
56.7034,-6.38478e-06
64.5026,-4.49022e-06
72.9135,-2.54224e-06
86.1972,-1.72037e-06
97.9495,-1.21116e-06
111.986,-8.47486e-07
131.682,-3.6901e-07
165.253,-2.35237e-07
46.1309,-1.22626e-05
50.1422,-9.0253e-06
59.5661,-6.07793e-06
63.9223,-4.53098e-06
67.9885,-3.408e-06
84.0786,-1.76372e-06
89.6318,-1.32356e-06
92.004,-1.03155e-06
96.3345,-7.88139e-07
98.0577,-6.19431e-07
119.615,-3.24989e-07
46.324,-1.22115e-05
52.2171,-8.66667e-06
94.6238,-3.82608e-06
106.356,-2.72323e-06
136.979,-1.69153e-06
144.166,-1.28577e-06
151.618,-9.78058e-07
187.331,-6.33279e-07
191.364,-4.95946e-07
232.682,-3.26303e-07
245.843,-1.58124e-07
252.557,-1.23136e-07
37.2226,1.51974e-05
47.1969,9.58852e-06
53.4968,6.76748e-06
65.5474,4.41865e-06
73.7135,3.14331e-06
75.8936,2.44242e-06
76.1435,1.94752e-06
81.6884,1.45226e-06
84.7295,1.12011e-06
97.374,6.23781e-07
107.53,4.51894e-07
107.958,3.60082e-07
119.01,2.61314e-07
60.0148,-1.01208e-06
61.7399,-1.5372e-06
18.3692,-3.07954e-05
18.4034,-2.45904e-05
18.4942,-1.95758e-05
27.9776,-1.03523e-05
56.8703,-2.60753e-06
66.536,-1.78299e-06
76.2014,-1.24547e-06
85.8802,-8.84081e-07
93.175,-6.51892e-07
94.765,-5.12764e-07
100.955,-3.8506e-07
107.189,-2.90132e-07
14.1839,3.98821e-05
50.3794,8.9828e-06
53.4796,6.76967e-06
70.1767,2.64139e-06
81.4318,1.82105e-06
106.615,8.90177e-07
123.899,3.9219e-07
125.52,3.09701e-07
48.9065,-1.15667e-05
49.6774,-9.10975e-06
63.1351,-5.73435e-06
73.2883,-3.95194e-06
83.1833,-2.78547e-06
85.8345,-2.15955e-06
154.133,-2.52208e-07
154.578,-2.01185e-07
157.164,-1.583e-07
48.6368,1.16308e-05
63.9302,7.07879e-06
88.7928,3.26188e-06
126.555,4.79949e-07
133.988,3.62661e-07
138.041,2.81609e-07
143.284,2.17043e-07
35.0826,-1.61244e-05
45.4171,-9.96428e-06
57.927,-6.24991e-06
64.7357,-4.47405e-06
66.6292,-3.47753e-06
94.0217,-1.26176e-06
95.5106,-9.93673e-07
111.301,-4.36583e-07
119.927,-3.24145e-07
127.392,-2.44119e-07
127.874,-1.9456e-07
46.7313,1.21051e-05
54.6926,8.27439e-06
95.0898,3.80733e-06
107.091,2.70454e-06
128.754,1.79959e-06
166.469,8.90805e-07
181.187,6.54754e-07
194.931,4.86871e-07
200.511,3.78657e-07
233.008,2.08542e-07
271.343,9.1689e-08
48.0548,1.17717e-05
48.0762,9.41316e-06
59.3494,6.10013e-06
70.9204,4.08389e-06
83.2478,2.78331e-06
83.7595,2.21305e-06
88.7581,1.67073e-06
93.448,1.26951e-06
98.9146,9.59477e-07
108.021,7.02872e-07
120.558,5.03824e-07
134.272,3.61893e-07
153.322,2.53542e-07
184.208,1.3506e-07
46.8145,1.20836e-05
60.5205,4.78566e-06
68.6607,3.37464e-06
86.3913,2.14563e-06
91.0074,1.62944e-06
51.1019,-3.62734e-06
48.8511,1.15798e-05
64.6048,7.00488e-06
83.5589,2.77295e-06
86.7429,2.13693e-06
88.7939,1.67006e-06
104.145,9.11289e-07
108.189,7.01784e-07
122.891,3.16326e-07
127.092,2.44695e-07
124.435,9.53372e-07
38.0724,-1.48581e-05
47.536,-9.52013e-06
56.532,-6.40414e-06
74.1716,-3.1239e-06
81.0994,-2.28564e-06
115.385,-1.02815e-06
67.3272,-4.61907e-07
32.3837,-1.74682e-05
47.6813,-9.49111e-06
49.4948,-7.31469e-06
52.8554,-5.47968e-06
47.0709,-1.20177e-05
56.6342,-7.99073e-06
61.4958,-5.88721e-06
66.7066,-4.34186e-06
82.7332,-2.80063e-06
87.8426,-2.11018e-06
91.3711,-1.62295e-06
113.396,-1.04618e-06
116.755,-8.12866e-07
134.028,-4.53188e-07
47.6814,1.18639e-05
73.7138,3.92913e-06
73.9973,3.13126e-06
82.4955,2.24696e-06
97.1891,1.22064e-06
125.208,3.88091e-07
141.136,2.75433e-07
148.251,2.09773e-07
153.832,1.61729e-07
63.393,3.65505e-06
60.5966,4.77966e-06
173.468,-2.80121e-07
28.5561,1.98096e-05
29.2105,1.54926e-05
49.3664,7.33371e-06
49.6395,5.83469e-06
86.3387,2.68367e-06
90.1197,2.05686e-06
131.416,1.12841e-06
132.631,5.72455e-07
136.984,4.4341e-07
176.164,2.75834e-07
185.81,2.09212e-07
230.123,1.3514e-07
230.164,1.08093e-07
33.8361,1.67184e-05
34.4666,1.31301e-05
49.3325,7.33874e-06
55.1744,5.24937e-06
59.2894,3.90803e-06
66.7098,2.77866e-06
75.0671,1.97545e-06
55.7007,-2.66228e-06
46.5638,-1.21486e-05
54.3239,-8.33056e-06
96.4174,-3.75491e-06
110.258,-2.10149e-06
190.505,-1.63244e-07
44.0129,-1.28527e-05
46.7373,-9.68281e-06
53.4258,-6.77647e-06
95.4729,-3.03364e-06
108.518,-2.13517e-06
120.954,-1.53252e-06
126.527,-1.17201e-06
231.015,-3.28658e-07
242.856,-2.50107e-07
278.197,-1.74668e-07
278.939,-1.39362e-07
308.998,-1.00644e-07
322.993,-7.70269e-08
16.6413,-3.39928e-05
46.5401,-9.72383e-06
52.2489,-6.92911e-06
63.5145,-4.56008e-06
71.6552,-3.23361e-06
87.581,-1.69319e-06
97.0741,-6.25708e-07
105.673,-4.59835e-07
108.668,-3.57728e-07
113.207,-2.74709e-07
114.297,-2.17672e-07
